dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Employee Benefits: Group Life Insurance,9000000,2025,Target Budget,Full Year,2024-09-30,Employee Benefits: Group Life Insurance,35-EB-GLI,
Employee Benefits: Group Legal,6500000,2025,Target Budget,Full Year,2024-09-30,Employee Benefits: Group Legal,35-EB-GL,
Employee Benefits: Tool Allowance,350000,2025,Target Budget,Full Year,2024-09-30,Employee Benefits: Tool Allowance,35-EB-TA,
Finance-Hero Scholarship Awards,50000,2025,Target Budget,Full Year,2024-09-30,Finance: Hero Scholarship Awards,35-HA,
Finance-Payment to Housing Trust Fund,31006714,2025,Target Budget,Full Year,2024-09-30,Finance: Housing Trust Fund,35-HTF,
Finance-Indemnities (2),61246000,2025,Target Budget,Full Year,2024-09-30,Finance: Indemnities,35-IN,
Finance-Refunds,250000,2025,Target Budget,Full Year,2024-09-30,Finance: Refunds,35-R,
Finance-School District Contribution,284052590,2025,Target Budget,Full Year,2024-09-30,Finance: School District Contribution,35-SD,
Finance-Witness Fees,180094,2025,Target Budget,Full Year,2024-09-30,Finance: Witness Fees,35-WF,
Fire,432093306,2025,Target Budget,Full Year,2024-09-30,Fire Department,13,Fire
First Judicial District,129901368,2025,Target Budget,Full Year,2024-09-30,First Judicial District,84,FJD
Fleet Services,52312815,2025,Target Budget,Full Year,2024-09-30,Office of Fleet Management,25,Fleet
Fleet Services Vehicle Purchases,6047245,2025,Target Budget,Full Year,2024-09-30,Fleet: Vehicle Lease/Purchases,25-V,
Free Library,71703640,2025,Target Budget,Full Year,2024-09-30,The Free Library of Philadelphia,52,Free Library
Human Relations Commission,2758676,2025,Target Budget,Full Year,2024-09-30,Commission on Human Relations,54,Human Relations
Human Services,222404818,2025,Target Budget,Full Year,2024-09-30,Department of Human Services,22,DHS
Labor,4653592,2025,Target Budget,Full Year,2024-09-30,Labor,03,
Law,29701870,2025,Target Budget,Full Year,2024-09-30,Law Department,44,Law
Licenses & Inspections,43226201,2025,Target Budget,Full Year,2024-09-30,Department of Licenses and Inspections,26,L&I
L&I-Board of Building Standards,86609,2025,Target Budget,Full Year,2024-09-30,L&I: Board of Building and Standards,29,
